2026-07-21T11:46:52.676965799Z [inf]  2026-07-21 11:46:52,670 INFO spawned: 'nginx' with pid 28
2026-07-21T11:46:52.676971269Z [inf]  2026-07-21 11:46:52,670 INFO spawned: 'nginx' with pid 28
2026-07-21T11:46:52.676974339Z [err]  nginx: [emerg] "server" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2026-07-21T11:46:53.677645843Z [inf]  2026-07-21 11:46:53,676 INFO success: nginx entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2026-07-21T11:46:53.677651783Z [inf]  2026-07-21 11:46:53,676 INFO success: nginx entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2026-07-21T11:46:53.677656003Z [inf]  2026-07-21 11:46:53,676 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:53.677660513Z [inf]  2026-07-21 11:46:53,676 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:54.685924719Z [inf]  2026-07-21 11:46:54,678 INFO spawned: 'nginx' with pid 29
2026-07-21T11:46:54.685929549Z [inf]  2026-07-21 11:46:54,678 INFO spawned: 'nginx' with pid 29
2026-07-21T11:46:54.685932649Z [err]  nginx: [emerg] "server" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2026-07-21T11:46:55.691541083Z [inf]  2026-07-21 11:46:55,684 INFO success: nginx entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2026-07-21T11:46:55.691545963Z [inf]  2026-07-21 11:46:55,684 INFO success: nginx entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2026-07-21T11:46:55.691549023Z [inf]  2026-07-21 11:46:55,684 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:55.691551603Z [inf]  2026-07-21 11:46:55,684 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:56.689371511Z [inf]  2026-07-21 11:46:56,686 INFO spawned: 'nginx' with pid 30
2026-07-21T11:46:56.689374351Z [inf]  2026-07-21 11:46:56,686 INFO spawned: 'nginx' with pid 30
2026-07-21T11:46:56.694119476Z [err]  nginx: [emerg] "server" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2026-07-21T11:46:57.698390514Z [inf]  2026-07-21 11:46:57,692 INFO success: nginx entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2026-07-21T11:46:57.698393664Z [inf]  2026-07-21 11:46:57,692 INFO success: nginx entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2026-07-21T11:46:57.698396994Z [inf]  2026-07-21 11:46:57,692 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:57.698399764Z [inf]  2026-07-21 11:46:57,692 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:58.703117756Z [inf]  2026-07-21 11:46:58,695 INFO spawned: 'nginx' with pid 31
2026-07-21T11:46:58.703123366Z [inf]  2026-07-21 11:46:58,695 INFO spawned: 'nginx' with pid 31
2026-07-21T11:46:58.703126486Z [err]  nginx: [emerg] "server" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2026-07-21T11:46:58.703129476Z [inf]  2026-07-21 11:46:58,699 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:58.703132106Z [inf]  2026-07-21 11:46:58,699 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:59.708827369Z [inf]  2026-07-21 11:46:59,702 INFO spawned: 'nginx' with pid 32
2026-07-21T11:46:59.708832439Z [inf]  2026-07-21 11:46:59,702 INFO spawned: 'nginx' with pid 32
2026-07-21T11:46:59.708835349Z [err]  nginx: [emerg] "server" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2026-07-21T11:46:59.708840209Z [inf]  2026-07-21 11:46:59,707 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:46:59.708843169Z [inf]  2026-07-21 11:46:59,707 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:47:01.711463831Z [inf]  2026-07-21 11:47:01,710 INFO spawned: 'nginx' with pid 33
2026-07-21T11:47:01.711466771Z [inf]  2026-07-21 11:47:01,710 INFO spawned: 'nginx' with pid 33
2026-07-21T11:47:01.716205057Z [err]  nginx: [emerg] "server" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2026-07-21T11:47:01.716208257Z [inf]  2026-07-21 11:47:01,715 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:47:01.716211197Z [inf]  2026-07-21 11:47:01,715 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:47:04.723976534Z [inf]  2026-07-21 11:47:04,719 INFO spawned: 'nginx' with pid 34
2026-07-21T11:47:04.723980974Z [inf]  2026-07-21 11:47:04,719 INFO spawned: 'nginx' with pid 34
2026-07-21T11:47:04.724917947Z [err]  nginx: [emerg] "server" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2026-07-21T11:47:04.724929007Z [inf]  2026-07-21 11:47:04,724 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:47:04.724936577Z [inf]  2026-07-21 11:47:04,724 WARN exited: nginx (exit status 1; not expected)
2026-07-21T11:47:05.730947492Z [inf]  2026-07-21 11:47:05,725 INFO gave up: nginx entered FATAL state, too many start retries too quickly
2026-07-21T11:47:05.730957442Z [inf]  2026-07-21 11:47:05,725 INFO gave up: nginx entered FATAL state, too many start retries too quickly
